filename,label,xmin,ymin,xmax,ymax,filepath
maksssksksss0.png,without_mask,79,105,109,142,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss0.png
maksssksksss0.png,with_mask,185,100,226,144,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss0.png
maksssksksss0.png,without_mask,325,90,360,141,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss0.png
maksssksksss1.png,with_mask,321,34,354,69,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss1.png
maksssksksss1.png,with_mask,224,38,261,73,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss1.png
maksssksksss1.png,with_mask,299,58,315,81,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss1.png
maksssksksss1.png,with_mask,143,74,174,115,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss1.png
maksssksksss1.png,with_mask,74,69,95,99,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss1.png
maksssksksss1.png,with_mask,191,67,221,93,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss1.png
maksssksksss1.png,with_mask,21,73,44,93,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss1.png
maksssksksss1.png,with_mask,369,70,398,99,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss1.png
maksssksksss1.png,without_mask,83,56,111,89,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss1.png
maksssksksss10.png,with_mask,98,267,194,383,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss10.png
maksssksksss100.png,with_mask,189,30,245,88,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss100.png
maksssksksss100.png,with_mask,387,54,400,75,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss100.png
maksssksksss100.png,with_mask,118,87,163,126,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss100.png
maksssksksss101.png,with_mask,48,294,164,400,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss101.png
maksssksksss102.png,with_mask,212,57,251,106,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss102.png
maksssksksss103.png,with_mask,42,54,94,110,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss103.png
maksssksksss103.png,with_mask,188,46,236,106,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss103.png
maksssksksss103.png,with_mask,261,88,303,130,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss103.png
maksssksksss103.png,with_mask,368,112,400,151,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss103.png
maksssksksss104.png,without_mask,42,109,66,140,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss104.png
maksssksksss104.png,without_mask,2,105,22,125,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss104.png
maksssksksss104.png,without_mask,30,88,46,105,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss104.png
maksssksksss104.png,with_mask,133,108,174,152,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss104.png
maksssksksss104.png,with_mask,221,101,256,139,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss104.png
maksssksksss104.png,without_mask,304,131,331,158,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss104.png
maksssksksss104.png,without_mask,83,85,96,96,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss104.png
maksssksksss104.png,without_mask,167,91,180,108,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss104.png
maksssksksss105.png,with_mask,178,143,213,202,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss105.png
maksssksksss105.png,with_mask,280,103,312,145,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss105.png
maksssksksss105.png,with_mask,320,79,352,119,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss105.png
maksssksksss105.png,with_mask,365,53,390,84,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss105.png
maksssksksss105.png,with_mask,243,36,267,67,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss105.png
maksssksksss105.png,with_mask,115,47,146,87,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss105.png
maksssksksss105.png,with_mask,33,88,65,131,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss105.png
maksssksksss105.png,with_mask,29,202,65,265,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss105.png
maksssksksss105.png,with_mask,26,34,52,66,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss105.png
maksssksksss106.png,with_mask,154,51,423,391,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss106.png
maksssksksss107.png,with_mask,121,192,212,312,D:\ML PROJECTS\Face Mask Detection\archive\images\maksssksksss107.png
